,GT_noa
789,38
790,21
791,24
792,23
793,17
794,25
795,15
796,26
797,21
798,26
799,22
800,25
801,24
802,13
803,36
804,22
805,12
806,10
807,22
808,22
809,28
810,35
811,14
812,18
813,36
814,24
815,33
816,19
817,10
818,21
819,20
820,11
821,28
822,18
823,20
824,19
825,25
826,21
827,29
828,15
829,14
830,10
831,28
832,33
833,46
834,27
835,12
836,32
837,8
838,23
839,20
840,25
841,20
842,29
843,15
844,20
845,26
846,35
847,22
848,17
849,33
850,21
851,14
852,14
853,12
854,16
855,21
856,20
857,32
858,23
859,46
860,19
861,30
862,16
863,35
864,11
865,14
866,33
867,18
868,14
869,33
870,15
871,20
872,23
873,26
874,36
875,28
876,13
877,10
878,35
879,13
880,19
881,14
882,29
883,11
884,12
885,22
886,20
887,13
888,28
889,33
890,11
891,34
892,30
893,27
894,23
895,29
896,22
897,17
898,13
899,17
900,33
901,19
902,32
903,15
904,33
905,27
906,14
907,34
908,16
909,17
910,36
911,12
912,31
913,14
914,18
915,20
916,25
917,33
918,14
919,18
920,34
921,31
922,16
923,10
924,25
925,23
926,32
927,27
928,27
929,30
930,19
931,27
932,9
933,23
934,20
935,24
936,24
937,12
938,30
939,23
940,10
941,34
942,11
943,6
944,21
945,33
946,19
947,36
948,28
949,29
950,30
951,22
952,28
953,36
954,34
955,19
956,26
957,10
958,27
959,38
960,10
961,17
962,23
963,22
964,29
965,28
966,13
967,34
968,17
969,35
970,9
971,17
972,13
973,20
974,15
975,15
976,28
977,33
978,34
979,30
980,15
981,23
982,26
983,20
984,12
985,36
986,27
987,24
988,26
989,35
990,29
991,34
992,30
993,27
994,21
995,14
996,12
997,14
998,13
999,10
1000,30
1001,34
1002,21
1003,28
1004,37
1005,23
1006,13
1007,14
1008,28
1009,33
1010,23
1011,37
1012,28
1013,24
1014,24
1015,35
1016,38
1017,17
1018,26
1019,37
1020,36
1021,16
1022,27
1023,29
1024,16
1025,18
1026,21
1027,27
1028,35
1029,28
1030,30
1031,19
1032,32
1033,19
1034,10
1035,25
1036,21
1037,22
1038,22
1039,30
1040,32
1041,23
1042,11
1043,18
1044,29
1045,31
1046,23
1047,46
1048,18
1049,20
1050,18
1051,27
1052,17
1053,46
1054,23
1055,22
1056,11
1057,30
1058,13
1059,13
1060,32
1061,13
1062,30
1063,28
1064,22
1065,30
1066,18
1067,16
1068,18
1069,13
1070,23
1071,46
1072,31
1073,17
1074,46
1075,15
1076,18
1077,32
1078,25
1079,23
1080,31
1081,46
1082,21
1083,26
1084,21
1085,17
1086,10
1087,20
1088,8
1089,13
1090,37
1091,20
1092,22
1093,9
1094,15
1095,13
1096,22
1097,15
1098,16
1099,15
1100,13
1101,15
1102,24
1103,25
1104,26
1105,11
1106,11
1107,17
1108,15
1109,22
1110,23
1111,22
1112,36
1113,13
1114,13
1115,35
1116,22
1117,15
1118,13
1119,12
1120,18
1121,21
1122,24
1123,25
1124,15
1125,15
1126,29
1127,13
1128,33
1129,26
1130,20
1131,16
1132,23
1133,10
1134,25
1135,14
1136,7
1137,14
1138,18
1139,32
1140,39
1141,15
1142,37
1143,23
1144,26
1145,16
1146,25
1147,30
1148,36
1149,19
1150,34
1151,19
1152,15
1153,9
1154,15
1155,15
1156,23
1157,16
1158,13
1159,34
1160,13
1161,17
1162,21
1163,35
1164,29
1165,46
1166,17
1167,20
1168,18
1169,17
1170,9
1171,27
1172,24
1173,14
1174,18
1175,16
1176,31
1177,11
1178,14
1179,34
1180,13
1181,25
1182,35
1183,20
1184,9
1185,13
1186,13
1187,19
1188,20
1189,14
1190,21
1191,17
1192,13
1193,11
1194,20
1195,13
1196,29
1197,19
1198,12
1199,8
1200,30
1201,17
1202,17
1203,21
1204,14
1205,33
1206,13
1207,31
1208,36
1209,16
1210,28
1211,21
1212,16
1213,21
1214,16
1215,16
1216,16
1217,26
1218,12
1219,23
1220,26
1221,10
1222,22
1223,23
1224,18
1225,11
1226,16
1227,25
1228,17
1229,30
1230,17
1231,19
1232,18
1233,28
1234,18
1235,31
1236,24
1237,13
1238,36
1239,15
1240,31
1241,27
1242,28
1243,10
1244,36
1245,16
1246,18
1247,12
1248,15
1249,13
1250,30
1251,18
1252,10
1253,13
1254,16
1255,28
1256,10
1257,32
1258,27
1259,37
1260,34
1261,19
1262,12
1263,46
1264,13
1265,30
1266,22
1267,25
1268,14
1269,20
1270,23
1271,14
1272,33
1273,16
1274,11
1275,35
1276,7
1277,13
1278,26
1279,11
1280,14
1281,30
1282,30
1283,17
1284,28
1285,19
1286,10
1287,33
1288,17
1289,34
1290,9
1291,21
1292,24
1293,16
1294,17
1295,11
1296,12
1297,29
1298,25
1299,36
1300,27
1301,12
1302,15
1303,18
1304,14
1305,34
1306,31
1307,32
1308,35
1309,11
1310,13
1311,17
1312,21
1313,25
1314,28
1315,29
1316,11
1317,25
1318,22
1319,25
1320,16
1321,11
1322,11
1323,19
1324,46
1325,12
1326,14
1327,26
1328,15
1329,23
1330,38
1331,11
1332,10
1333,18
1334,14
1335,13
1336,12
1337,25
1338,19
1339,10
1340,36
1341,17
1342,34
1343,24
1344,15
1345,20
1346,16
1347,26
1348,15
1349,22
1350,28
1351,18
1352,13
1353,35
1354,22
1355,25
1356,13
1357,37
1358,18
1359,26
1360,14
1361,46
1362,13
1363,23
1364,34
1365,29
1366,12
1367,23
1368,16
1369,17
1370,24
1371,20
1372,33
1373,11
1374,20
1375,29
1376,31
1377,27
1378,28
1379,35
1380,22
1381,23
1382,14
1383,9
1384,31
1385,13
1386,11
1387,14
1388,24
1389,35
1390,16
1391,9
1392,28
1393,16
1394,20
1395,13
1396,11
1397,9
1398,11
1399,22
1400,35
1401,17
1402,10
1403,17
1404,12
1405,36
1406,25
1407,10
1408,14
1409,32
1410,31
1411,16
1412,38
1413,30
1414,16
1415,15
1416,10
1417,12
1418,12
1419,26
1420,33
1421,15
1422,20
1423,16
1424,26
1425,23
1426,13
1427,28
1428,10
1429,23
1430,20
1431,27
1432,15
1433,25
1434,15
1435,22
1436,14
1437,18
1438,26
1439,26
1440,29
1441,34
1442,46
1443,46
1444,32
1445,24
1446,23
1447,23
1448,16
1449,22
1450,14
1451,32
1452,11
1453,26
1454,35
1455,34
1456,24
1457,11
1458,12
1459,28
1460,13
1461,17
1462,16
1463,18
1464,28
1465,22
1466,27
1467,27
1468,29
1469,20
1470,16
1471,38
1472,37
1473,29
1474,14
1475,25
1476,31
1477,22
1478,17
1479,16
1480,13
1481,33
1482,34
1483,15
1484,12
1485,25
1486,36
1487,20
1488,21
1489,16
1490,23
1491,24
1492,10
1493,22
1494,31
1495,30
1496,23
1497,11
1498,25
1499,15
1500,20
1501,29
1502,18
1503,32
1504,25
1505,17
1506,9
1507,10
1508,11
1509,26
1510,26
1511,18
1512,30
1513,34
1514,35
1515,24
1516,23
1517,16
1518,19
1519,35
1520,46
1521,31
1522,34
1523,37
1524,26
1525,13
1526,19
1527,24
1528,18
1529,12
1530,20
1531,14
1532,29
1533,17
1534,21
1535,16
1536,26
1537,29
1538,14
1539,31
1540,26
1541,17
1542,25
1543,18
1544,17
1545,18
1546,31
1547,23
1548,17
1549,21
1550,18
1551,31
1552,24
1553,27
1554,23
1555,22
1556,26
1557,27
1558,11
1559,21
1560,35
1561,12
1562,21
1563,13
1564,22
1565,22
1566,16
1567,32
1568,14
1569,16
1570,17
1571,16
1572,28
1573,9
1574,36
1575,31
1576,18
1577,25
1578,20
1579,19
1580,19
1581,28
1582,13
1583,12
1584,19
1585,16
1586,17
1587,21
1588,32
1589,15
1590,14
1591,18
1592,21
1593,20
1594,31
1595,13
1596,24
1597,22
1598,21
1599,12
1600,32
1601,9
1602,15
1603,17
1604,19
1605,12
1606,10
1607,14
1608,19
1609,29
1610,17
1611,36
1612,8
1613,29
1614,28
1615,28
1616,17
1617,23
1618,46
1619,10
1620,25
1621,22
1622,24
1623,15
1624,20
1625,25
1626,28
1627,17
1628,31
1629,14
1630,16
1631,21
1632,15
1633,37
1634,14
1635,15
1636,36
1637,17
1638,21
1639,37
1640,19
1641,34
1642,14
1643,15
1644,23
1645,31
1646,11
1647,13
1648,14
1649,11
1650,20
1651,10
1652,15
1653,10
1654,15
1655,8
1656,32
1657,22
1658,29
1659,18
1660,17
1661,27
1662,17
1663,11
1664,11
1665,27
1666,24
1667,25
1668,20
1669,28
1670,21
1671,16
1672,29
1673,24
1674,15
1675,36
1676,27
1677,22
1678,46
1679,24
1680,25
1681,34
1682,23
1683,17
1684,21
1685,15
1686,18
1687,32
1688,24
1689,23
1690,34
1691,10
1692,22
1693,34
1694,16
1695,24
1696,38
1697,18
1698,26
1699,29
1700,25
1701,32
1702,14
1703,35
1704,18
1705,28
1706,20
1707,16
1708,31
1709,16
1710,46
1711,16
1712,33
1713,17
1714,14
1715,34
1716,23
1717,19
1718,23
1719,21
1720,22
1721,18
1722,20
1723,31
1724,16
1725,18
1726,34
1727,13
1728,20
1729,22
1730,28
1731,35
1732,28
1733,13
1734,16
1735,35
1736,13
1737,37
1738,19
1739,17
1740,9
1741,22
1742,26
1743,24
1744,38
1745,46
1746,17
1747,21
1748,17
1749,11
1750,25
1751,22
1752,30
1753,20
1754,23
1755,27
1756,31
1757,31
1758,12
1759,28
1760,19
1761,24
1762,31
1763,16
1764,18
1765,12
1766,30
1767,17
1768,11
1769,18
1770,26
1771,32
1772,4
1773,22
1774,12
1775,22
1776,25
1777,29
1778,29
1779,34
1780,20
1781,23
1782,29
1783,13
1784,23
1785,18
1786,16
1787,9
1788,29
1789,31
1790,18
1791,23
1792,32
1793,18
1794,31
1795,17
1796,24
1797,11
1798,10
1799,10
1800,22
1801,36
1802,19
1803,17
1804,34
1805,19
1806,19
1807,29
1808,46
1809,25
1810,33
1811,21
1812,20
1813,34
1814,13
1815,21
1816,10
1817,21
1818,15
1819,14
1820,27
1821,32
1822,34
1823,18
1824,27
1825,29
1826,13
1827,10
1828,29
1829,17
1830,46
1831,19
1832,12
1833,15
1834,16
1835,35
1836,27
1837,11
1838,33
1839,15
1840,34
1841,13
1842,11
1843,9
1844,26
1845,16
1846,30
1847,27
1848,20
1849,21
1850,14
1851,15
1852,38
1853,15
1854,22
1855,24
1856,27
1857,14
1858,20
1859,22
1860,15
1861,16
1862,19
1863,19
1864,20
1865,11
1866,35
1867,37
1868,11
1869,25
1870,35
1871,24
1872,32
1873,13
1874,16
1875,15
1876,14
1877,16
1878,20
1879,29
1880,20
1881,32
1882,26
1883,14
1884,13
1885,29
1886,31
1887,16
1888,31
1889,11
1890,19
1891,18
1892,25
1893,27
1894,24
1895,27
1896,14
1897,35
1898,10
1899,34
1900,18
1901,20
1902,28
1903,28
1904,36
1905,14
1906,17
1907,31
1908,10
1909,21
1910,11
1911,37
1912,23
1913,24
1914,23
1915,15
1916,21
1917,30
1918,27
1919,33
1920,20
1921,12
1922,16
1923,21
1924,13
1925,22
1926,23
1927,24
1928,34
1929,10
1930,16
1931,20
1932,33
1933,16
1934,29
1935,22
1936,36
1937,14
1938,34
1939,34
1940,12
1941,18
1942,16
1943,20
1944,25
1945,30
1946,13
1947,17
1948,14
1949,14
1950,27
1951,29
1952,15
1953,22
1954,20
1955,20
1956,21
1957,25
1958,17
1959,22
1960,19
1961,27
1962,24
1963,12
1964,11
1965,16
1966,24
1967,28
1968,31
1969,10
1970,25
1971,18
1972,24
1973,17
1974,24
1975,15
1976,14
1977,38
1978,27
1979,12
1980,19
1981,11
1982,12
1983,26
1984,11
1985,34
1986,18
1987,26
1988,9
1989,32
1990,27
1991,10
1992,13
1993,15
1994,13
1995,21
1996,21
1997,30
1998,20
1999,14
2000,17
2001,31
2002,16
2003,16
2004,12
2005,21
2006,28
2007,14
2008,30
2009,17
2010,29
2011,10
2012,22
2013,12
2014,14
2015,18
2016,21
2017,12
2018,30
2019,14
2020,15
2021,28
2022,30
2023,31
2024,13
2025,30
2026,22
2027,36
2028,30
2029,14
2030,16
2031,15
2032,11
2033,27
2034,12
2035,10
2036,12
2037,46
2038,27
2039,30
2040,11
2041,11
2042,27
2043,17
2044,16
2045,32
2046,16
2047,10
2048,11
2049,22
2050,35
2051,11
2052,13
2053,24
2054,31
2055,27
2056,14
2057,18
2058,25
2059,35
2060,17
2061,25
2062,28
2063,12
2064,16
2065,10
2066,14
2067,11
2068,36
2069,36
2070,12
2071,26
2072,16
2073,22
2074,16
2075,12
2076,17
2077,30
2078,27
2079,16
2080,11
2081,32
2082,12
2083,23
2084,20
2085,23
2086,33
2087,10
2088,12
2089,11
2090,27
2091,46
2092,15
2093,11
2094,33
2095,46
2096,13
2097,22
2098,19
2099,18
2100,17
2101,11
2102,12
2103,35
2104,27
2105,19
2106,18
2107,33
2108,13
2109,18
2110,12
2111,38
2112,14
2113,25
2114,35
2115,10
2116,26
2117,23
2118,27
2119,17
2120,46
2121,10
2122,29
2123,31
2124,25
2125,31
2126,12
2127,33
2128,37
2129,35
2130,35
2131,30
2132,10
2133,12
2134,11
2135,32
2136,18
2137,24
2138,15
2139,21
2140,23
2141,28
2142,19
2143,22
2144,34
2145,11
2146,38
2147,12
2148,24
2149,29
2150,16
2151,27
2152,10
2153,26
2154,14
2155,22
2156,27
2157,31
2158,20
2159,30
2160,15
2161,33
2162,26
2163,29
2164,23
2165,18
2166,12
2167,30
2168,15
2169,26
2170,17
2171,35
2172,14
2173,25
2174,27
2175,19
2176,16
2177,10
2178,29
2179,16
2180,46
2181,29
2182,20
2183,13
2184,11
2185,14
2186,27
2187,24
2188,25
2189,13
2190,14
2191,33
2192,20
2193,14
2194,12
2195,31
2196,29
2197,16
2198,24
2199,19
2200,34
2201,11
2202,17
2203,21
2204,35
2205,23
2206,14
2207,12
2208,46
2209,11
2210,21
2211,12
2212,20
2213,35
2214,12
2215,14
2216,33
2217,18
2218,15
2219,21
2220,32
2221,17
2222,17
2223,12
2224,27
2225,24
2226,33
2227,18
2228,23
2229,32
2230,17
2231,24
2232,20
2233,27
2234,12
2235,46
2236,30
2237,16
2238,27
2239,18
2240,24
2241,14
2242,26
2243,13
2244,14
2245,38
2246,14
2247,35
2248,29
2249,17
2250,28
2251,30
2252,33
2253,17
2254,24
2255,8
2256,16
2257,16
2258,9
2259,11
2260,21
2261,29
2262,21
2263,13
2264,13
2265,26
2266,34
2267,26
2268,36
2269,16
2270,19
2271,27
2272,16
2273,21
2274,11
2275,10
2276,38
2277,19
2278,12
2279,23
2280,16
2281,13
2282,38
2283,24
2284,30
2285,30
2286,16
2287,20
2288,16
2289,19
2290,46
2291,21
2292,20
2293,28
2294,35
2295,17
2296,18
2297,23
2298,10
2299,33
2300,11
2301,35
2302,27
2303,22
2304,31
2305,12
2306,8
2307,46
2308,30
2309,10
2310,8
2311,22
2312,17
2313,16
2314,9
2315,14
2316,28
2317,29
2318,13
2319,16
2320,31
2321,24
2322,23
2323,13
2324,14
2325,46
2326,11
2327,34
2328,34
2329,24
2330,16
2331,35
2332,46
2333,31
2334,33
2335,11
2336,9
2337,22
2338,16
2339,36
2340,20
2341,23
2342,22
2343,34
2344,15
2345,15
2346,33
2347,20
2348,24
2349,46
2350,20
2351,13
2352,16
2353,29
2354,16
2355,15
2356,23
2357,27
2358,29
2359,36
2360,23
2361,13
2362,10
2363,26
2364,28
2365,26
2366,37
2367,24
2368,28
2369,32
2370,13
2371,15
2372,22
2373,28
2374,35
2375,18
2376,13
2377,17
2378,30
2379,16
2380,22
2381,21
2382,10
2383,29
2384,22
2385,27
2386,34
2387,26
2388,22
2389,46
2390,25
2391,18
2392,13
2393,23
2394,33
2395,27
2396,9
2397,30
2398,34
2399,32
2400,46
2401,10
2402,34
2403,17
2404,34
2405,21
2406,26
2407,15
2408,27
2409,13
2410,26
2411,30
2412,11
2413,19
2414,27
2415,22
2416,24
2417,16
2418,34
2419,25
2420,14
2421,13
2422,25
2423,15
2424,10
2425,9
2426,23
2427,21
2428,18
2429,20
2430,17
2431,30
2432,11
2433,29
2434,25
2435,26
2436,27
2437,9
2438,16
2439,26
2440,10
2441,34
2442,23
2443,21
2444,25
2445,12
2446,15
2447,32
2448,16
2449,14
2450,32
2451,8
2452,23
2453,10
2454,31
2455,22
2456,9
2457,11
2458,14
2459,27
2460,14
2461,21
2462,9
2463,21
2464,21
2465,20
2466,15
2467,19
2468,13
2469,12
2470,31
2471,16
2472,14
2473,13
2474,28
2475,33
2476,29
2477,25
2478,23
2479,10
2480,20
2481,20
2482,32
2483,9
2484,30
2485,25
2486,29
2487,17
2488,33
2489,22
2490,32
2491,11
2492,29
2493,30
2494,20
2495,17
2496,17
2497,15
2498,21
2499,27
2500,12
2501,27
2502,27
2503,26
2504,15
2505,30
2506,20
2507,11
2508,33
2509,17
2510,36
2511,29
2512,25
2513,11
2514,27
2515,28
2516,30
2517,12
2518,12
2519,46
2520,11
2521,14
2522,13
2523,14
2524,21
2525,12
2526,33
2527,31
2528,32
2529,17
2530,15
2531,29
2532,34
2533,15
2534,10
2535,34
2536,15
2537,21
2538,37
2539,32
2540,24
2541,21
2542,26
2543,15
2544,17
2545,28
2546,22
2547,26
2548,34
2549,31
2550,13
2551,23
2552,26
2553,12
2554,35
2555,15
2556,13
2557,30
2558,26
2559,19
2560,31
2561,17
2562,31
2563,35
2564,12
2565,20
2566,20
2567,27
2568,32
2569,23
2570,34
2571,32
2572,10
2573,46
2574,12
2575,46
2576,19
2577,26
2578,16
2579,46
2580,27
2581,19
2582,17
2583,17
2584,25
2585,18
2586,32
2587,13
2588,24
2589,21
2590,21
2591,32
2592,20
2593,25
2594,7
2595,31
2596,30
2597,15
2598,26
2599,10
2600,17
2601,11
2602,9
2603,21
2604,13
2605,30
2606,32
2607,31
2608,36
2609,16
2610,13
2611,17
2612,23
2613,10
2614,31
2615,38
2616,21
2617,15
2618,13
2619,18
2620,9
2621,26
2622,11
2623,24
2624,15
2625,23
2626,24
2627,16
2628,17
2629,32
2630,15
2631,18
2632,14
2633,12
2634,29
2635,27
2636,29
2637,30
2638,18
2639,46
2640,30
2641,25
2642,17
2643,22
2644,26
2645,26
2646,9
2647,29
2648,21
2649,28
2650,33
2651,16
2652,13
2653,27
2654,28
2655,36
2656,19
2657,35
2658,21
2659,34
2660,10
2661,16
2662,32
2663,16
2664,12
2665,26
2666,14
2667,14
2668,33
2669,23
2670,21
2671,11
2672,14
2673,11
2674,37
2675,37
2676,34
2677,14
2678,12
2679,12
2680,35
2681,28
2682,33
2683,29
2684,13
2685,36
2686,25
2687,23
2688,17
2689,31
2690,27
2691,9
2692,18
2693,12
2694,24
2695,26
2696,20
2697,19
2698,19
2699,17
2700,16
2701,24
2702,15
2703,26
2704,29
2705,26
2706,14
2707,28
2708,26
2709,19
2710,30
2711,38
2712,17
2713,24
2714,8
2715,16
2716,15
2717,18
2718,26
2719,17
2720,28
2721,15
2722,32
2723,21
2724,18
2725,28
2726,13
2727,26
2728,14
2729,36
2730,11
2731,34
2732,22
2733,19
2734,20
2735,29
2736,15
2737,34
2738,22
2739,24
2740,11
2741,19
2742,33
2743,10
2744,37
2745,20
2746,15
2747,16
2748,20
2749,12
2750,30
2751,25
2752,17
2753,19
2754,20
2755,12
2756,23
2757,9
2758,25
2759,11
2760,28
2761,16
2762,11
2763,10
2764,7
2765,20
2766,23
2767,13
2768,23
2769,14
2770,32
2771,11
2772,20
2773,19
2774,13
2775,23
2776,25
2777,11
2778,10
2779,30
2780,15
2781,12
2782,17
2783,18
2784,5
2785,46
2786,22
2787,9
2788,17
2789,23
2790,29
2791,26
2792,21
2793,17
2794,19
2795,31
2796,28
2797,10
2798,13
2799,15
2800,22
2801,33
2802,9
2803,7
2804,31
2805,12
2806,21
2807,16
2808,17
2809,9
2810,19
2811,32
2812,17
2813,17
2814,29
2815,23
2816,17
2817,17
2818,15
2819,12
2820,19
2821,26
2822,13
2823,24
2824,13
2825,10
2826,15
2827,19
2828,15
2829,22
2830,22
2831,26
2832,23
2833,32
2834,18
2835,14
2836,33
2837,22
2838,29
2839,12
2840,19
2841,31
2842,36
2843,19
2844,14
2845,32
2846,20
2847,20
2848,26
2849,23
2850,15
2851,14
2852,25
2853,22
2854,12
2855,31
2856,27
2857,10
2858,33
2859,33
2860,17
2861,23
2862,14
2863,21
2864,10
2865,34
2866,18
2867,12
2868,14
2869,30
2870,15
2871,17
2872,20
2873,13
2874,14
2875,24
2876,33
2877,36
2878,30
2879,16
2880,13
2881,20
2882,30
2883,29
2884,22
2885,25
2886,32
2887,22
2888,21
2889,35
2890,27
2891,17
2892,35
2893,17
2894,27
2895,22
2896,36
2897,24
2898,12
2899,10
2900,35
2901,24
2902,22
2903,21
2904,28
2905,37
2906,12
2907,16
2908,46
2909,8
2910,10
2911,13
2912,20
2913,14
2914,12
2915,35
2916,29
2917,20
2918,27
2919,37
2920,16
2921,20
2922,11
2923,34
2924,16
2925,24
2926,17
2927,31
2928,14
2929,30
2930,19
2931,17
2932,9
2933,13
2934,20
2935,27
2936,25
2937,35
2938,26
2939,29
2940,27
2941,35
2942,17
2943,21
2944,30
2945,24
2946,14
2947,14
2948,26
2949,10
2950,33
2951,10
2952,25
2953,15
2954,16
2955,13
2956,27
2957,12
2958,25
2959,17
2960,17
2961,17
2962,14
2963,15
2964,31
2965,26
2966,35
2967,22
2968,9
2969,16
2970,26
2971,15
2972,15
2973,36
2974,21
2975,13
2976,25
2977,15
2978,30
2979,17
2980,9
2981,13
2982,26
2983,31
2984,25
2985,24
2986,20
2987,12
2988,24
2989,17
2990,12
2991,18
2992,16
2993,26
2994,35
2995,27
2996,10
